id,session_id,session_name,paper_order
200,I&E7,Industry Change and Strategic Adaptation,2
38,I&E7,Industry Change and Strategic Adaptation,3
195,I&E7,Industry Change and Strategic Adaptation,4
87,OSCM6,Food and Resource Supply Chains,1
218,OSCM6,Food and Resource Supply Chains,2
136,OSCM6,Food and Resource Supply Chains,3
127,OSCM6,Food and Resource Supply Chains,4
9,LAB6,Human Capital and Workplace Performance,1
14,LAB6,Human Capital and Workplace Performance,2
161,LAB6,Human Capital and Workplace Performance,3
63,LAB6,Human Capital and Workplace Performance,4
125,SUS7,Industrial Decarbonisation,1
147,SUS7,Industrial Decarbonisation,2
194,SUS7,Industrial Decarbonisation,3
27,XTrack5,Alternative Proteins and Category Emergence,1
52,XTrack5,Alternative Proteins and Category Emergence,2
47,XTrack5,Alternative Proteins and Category Emergence,3
114,LAB3,"The Past, Present, and Future of HRM Research: Theoretical and Methodological Developments",1
115,XTrack2,"Conducting Field Research with Organizations: Opportunities, Challenges, and Best Practices",1
212,OSCM5,"Supply Chain Discovery - Emergence, Evolution and Growth",1
202,XTrack4,"Autonomy Without Abdication: Ethics, Control, & Responsibility in Agentic AI",1
